CD_CVM,DENOM_CIA,EBIT,DESPESA_FINANCEIRA,RECEITA,LUCRO_LIQUIDO,DIVIDA_BRUTA,ATIVO_TOTAL,CAIXA,CAIXA_OPERACIONAL,ANO,DESPESA_FINANCEIRA_ABS,DIVIDA_LIQUIDA,DT_REFER,DT_RECEB
22357,ALLOS S.A.,547842000.0,-77910000.0,275754000.0,368497000.0,904651000.0,4530037000.0,424431000.0,47551000.0,2013,77910000.0,480220000.0,2013-12-31,2014-03-13
22357,ALLOS S.A.,422352000.0,-103371000.0,318724000.0,274771000.0,913833000.0,4742333000.0,315936000.0,73214000.0,2014,103371000.0,597897000.0,2014-12-31,2015-03-04
22357,ALLOS S.A.,335172000.0,-114156000.0,331180000.0,204039000.0,891347000.0,4900842000.0,265145000.0,162575000.0,2015,114156000.0,626202000.0,2015-12-31,2016-03-03
22357,ALLOS S.A.,386441000.0,-99230000.0,342294000.0,247777000.0,814411000.0,4988081000.0,256046000.0,162708000.0,2016,99230000.0,558365000.0,2016-12-31,2017-03-06
22357,ALLOS S.A.,382385000.0,-90621000.0,354856000.0,252247000.0,974377000.0,5325661000.0,448429000.0,170941000.0,2017,90621000.0,525948000.0,2017-12-31,2018-03-13
22357,ALLOS S.A.,560294000.0,-74007000.0,374112000.0,362844000.0,765180000.0,5505253000.0,280145000.0,187412000.0,2018,74007000.0,485035000.0,2018-12-31,2019-04-08
22357,ALLOS S.A.,254048000.0,-207886000.0,743186000.0,56632000.0,0.0,10906547000.0,32682000.0,468296000.0,2019,207886000.0,-32682000.0,2019-12-31,2020-03-11
22357,ALLOS S.A.,320235000.0,-154062000.0,797585000.0,202473000.0,0.0,10887575000.0,13113000.0,303913000.0,2020,154062000.0,-13113000.0,2020-12-31,2021-03-10
22357,ALLOS S.A.,490058000.0,-216729000.0,937677000.0,318405000.0,0.0,11114713000.0,14862000.0,600245000.0,2021,216729000.0,-14862000.0,2021-12-31,2022-03-29
22357,ALLOS S.A.,469562000.0,-400028000.0,1111321000.0,222144000.0,0.0,12285205000.0,18256000.0,929733000.0,2022,400028000.0,-18256000.0,2022-12-31,2023-03-30
22357,ALLOS S.A.,5412717000.0,-843070000.0,2712274000.0,3493910000.0,0.0,27659095000.0,44317000.0,1441890000.0,2023,843070000.0,-44317000.0,2023-12-31,2024-03-20
22357,ALLOS S.A.,1453104000.0,-1048262000.0,2739848000.0,811978000.0,0.0,27288790000.0,47771000.0,1679910000.0,2024,1048262000.0,-47771000.0,2024-12-31,2025-03-17
22357,ALLOS S.A.,1539360000.0,-1010822000.0,2859106000.0,945293000.0,0.0,26006439000.0,60570000.0,1726228000.0,2025,1010822000.0,-60570000.0,2025-12-31,2026-03-10
24953,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",137169000.0,-192010000.0,1080684000.0,-42628000.0,1549162000.0,2419995000.0,120196000.0,,2019,192010000.0,1428966000.0,2019-12-31,2020-02-17
24953,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",8191000.0,-205792000.0,649365000.0,-170669000.0,1480196000.0,2697105000.0,42109000.0,,2020,205792000.0,1438087000.0,2020-12-31,2021-04-14
24953,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",-32393000.0,-206797000.0,834931000.0,-224170000.0,1365659000.0,2575218000.0,96400000.0,,2021,206797000.0,1269259000.0,2021-12-31,2022-04-04
24953,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",75836000.0,-256245000.0,1112959000.0,-157686000.0,1370067000.0,2564006000.0,137413000.0,,2022,256245000.0,1232654000.0,2022-12-31,2023-03-22
